C,S,L,P,T,R,Z
BON,IGT,4,24.16,1,1,0
BON,IGT,5,24.11,1,1,0
BON,IGT,6,24.06,1,1,0
BON,IGT,7,24.01,1,1,0
BON,IGT,8,23.96,1,1,0
BON,IPI,0,4.34,1,1,0
BON,IPI,1,4.33,1,1,0
BON,IPI,2,4.32,1,1,0
BON,IPI,3,4.31,1,1,0
BON,IPI,4,4.3,1,1,0
BON,IPI,5,4.29,1,1,0
BON,IPI,6,4.28,1,1,0
BON,IPI,7,4.27,1,1,0
BON,IPI,8,4.26,1,1,0
BON,LPLA,0,64.57,1,1,0
BON,LPLA,1,64.48,1,1,0
BON,LPLA,2,64.39,1,1,0
BON,LPLA,3,64.3,1,1,0
BON,LPLA,4,64.21,1,1,0
BON,LPLA,5,64.12,1,1,0
BON,LPLA,6,64.03,1,1,0
BON,LPLA,7,63.94,1,1,0
BON,LPLA,8,63.85,1,1,0
BON,ABBV,0,94.5,1,1,0
BON,ABBV,1,94.38,1,1,0
BON,ABBV,2,94.26,1,1,0
BON,ABBV,3,94.14,1,1,0
BON,ABBV,4,94.02,1,1,0
BON,ABBV,5,93.9,1,1,0
BON,ABBV,6,93.78,1,1,0
BON,ABBV,7,93.66,1,1,0
BON,ABBV,8,93.54,1,1,0
BON,LYB,0,105.88,1,1,0
BON,LYB,1,105.74,1,1,0
BON,LYB,2,105.6,1,1,0
BON,LYB,3,105.46,1,1,0
BON,LYB,4,105.32,1,1,0
BON,LYB,5,105.18,1,1,0
BON,LYB,6,105.04,1,1,0
BON,LYB,7,104.9,1,1,0
BON,LYB,8,104.76,1,1,0
BON,RJF,0,90.94,1,1,0
BON,RJF,1,90.83,1,1,0
BON,RJF,2,90.72,1,1,0
BON,RJF,3,90.61,1,1,0
BON,RJF,4,90.5,1,1,0
BON,RJF,5,90.39,1,1,0
BON,RJF,6,90.28,1,1,0
BON,RJF,7,90.17,1,1,0
BON,RJF,8,90.06,1,1,0
BON,XLNX,0,64.82,1,1,0
BON,XLNX,1,64.74,1,1,0
BON,XLNX,2,64.66,1,1,0
BON,XLNX,3,64.58,1,1,0
BON,XLNX,4,64.5,1,1,0
BON,XLNX,5,64.42,1,1,0
BON,XLNX,6,64.34,1,1,0
BON,XLNX,7,64.26,1,1,0
BON,XLNX,8,64.18,1,1,0
BON,FITB,0,28.78,1,1,0
BON,FITB,1,28.73,1,1,0
BON,FITB,2,28.68,1,1,0
BON,FITB,3,28.63,1,1,0
BON,FITB,4,28.58,1,1,0
BON,FITB,5,28.53,1,1,0
BON,FITB,6,28.48,1,1,0
BON,FITB,7,28.43,1,1,0
BON,FITB,8,28.38,1,1,0
BON,FMC,0,82.96,1,1,0
BON,FMC,1,82.86,1,1,0
BON,FMC,2,82.76,1,1,0
BON,FMC,3,82.66,1,1,0
BON,FMC,4,82.56,1,1,0
BON,FMC,5,82.46,1,1,0
BON,FMC,6,82.36,1,1,0
BON,FMC,7,82.26,1,1,0
BON,FMC,8,82.16,1,1,0
SOR2,CVI,0,38.04,1,1,0
SOR2,CVI,1,37.85,1,1,0
SOR2,CVI,2,37.66,1,1,0
SOR2,PSTG,0,19.64,1,1,0
SOR2,PSTG,1,19.54,1,1,0
SOR2,PSTG,2,19.45,1,1,0
SOR2,REI,0,13.26,1,1,0
SOR2,REI,1,13.18,1,1,0
SOR2,REI,2,13.11,1,1,0
