C,S,L,P,T,R,Z
TS2,INFO,1,49.76,1,1,0
TS2,DXC,0,94.21,0,1,0
TS2,DXC,1,90.74,1,1,0
TS2,VLO,0,118.73,0,1,0
TS2,VLO,1,114.96,1,1,0
TS2,XLNX,0,69.6,0,2,38
DEEP,DXC,0,94.21,0,1,0
DEEP,DXC,1,93.42,1,1,0
DEEP,DXC,2,92.63,1,1,0
DEEP,DXC,3,91.84,1,1,0
DEEP,DXC,4,91.05,1,1,0
DEEP,DXC,5,90.26,1,1,0
DEEP,DXC,6,89.47,1,1,0
DEEP,DXC,7,88.68,1,1,0
DEEP,DXC,8,87.89,1,1,0
TS3,IGT,8,26.12,1,1,0
TS3,SCHW,3,56.38,1,1,0
TS3,SCHW,4,55.77,1,1,0
TS3,SCHW,5,55.16,1,1,0
TS3,SCHW,6,54.55,1,1,0
TS3,SCHW,7,53.94,1,1,0
TS3,SCHW,8,53.33,1,1,0
TS3,COP,6,63.24,1,1,0
TS3,COP,7,62.02,1,1,0
TS3,COP,8,60.8,1,1,0
TS3,WPX,4,16.45,1,1,0
TS3,WPX,5,16.04,1,1,0
TS3,WPX,6,15.63,1,1,0
TS3,WPX,7,15.22,1,1,0
TS3,WPX,8,14.81,1,1,0
TS3,WLL,4,45.5,1,1,0
TS3,WLL,5,44.06,1,1,0
TS3,WLL,6,42.62,1,1,0
TS3,WLL,7,41.18,1,1,0
TS3,WLL,8,39.74,1,1,0
TS3,CSCO,0,43.56,0,1,0
TS3,CSCO,1,43.15,1,1,0
TS3,CSCO,2,42.74,1,1,0
TS3,CSCO,3,42.33,1,1,0
TS3,CSCO,4,41.92,1,1,0
TS3,CSCO,5,41.51,1,1,0
TS3,CSCO,6,41.1,1,1,0
TS3,CSCO,7,40.69,1,1,0
TS3,CSCO,8,40.28,1,1,0
TS3,HFC,0,72.69,0,1,0
TS3,HFC,1,71.1,1,1,0
TS3,HFC,2,69.51,1,1,0
TS3,HFC,3,67.92,1,1,0
TS3,HFC,4,66.33,1,1,0
TS3,HFC,5,64.74,1,1,0
TS3,HFC,6,63.15,1,1,0
TS3,HFC,7,61.56,1,1,0
TS3,HFC,8,59.97,1,1,0
TS3,PBF,0,44.48,0,1,0
TS3,PBF,1,43.65,1,1,0
TS3,PBF,2,42.82,1,1,0
TS3,PBF,3,41.99,1,1,0
TS3,PBF,4,41.16,1,1,0
TS3,PBF,5,40.33,1,1,0
TS3,PBF,6,39.5,1,1,0
TS3,PBF,7,38.67,1,1,0
TS3,PBF,8,37.84,1,1,0
RSO,BBY,2,68.39,0,1,0
RSO,BBY,3,68.1,1,1,0
RSO,BBY,4,67.81,1,1,0
RSO,BBY,5,67.52,1,1,0
RSO,BBY,6,67.23,1,1,0
RSO,BBY,7,66.94,1,1,0
