C,L,R,T
I10, 0, 0.4,2
I10, 1, 0.6,2
TS2, 0, 0.4,2
TS2, 1, 0.6,2
TS3, 0, 0.0345,9
TS3, 1, 0.069,9
TS3, 2, 0.069,9
TS3, 3, 0.1034,9
TS3, 4, 0.1034,9
TS3, 5, 0.1379,9
TS3, 6, 0.1379,9
TS3, 7, 0.1724,9
TS3, 8, 0.1724,9
DEEP, 0, 0.0345,9
DEEP, 1, 0.069,9
DEEP, 2, 0.069,9
DEEP, 3, 0.1034,9
DEEP, 4, 0.1034,9
DEEP, 5, 0.1379,9
DEEP, 6, 0.1379,9
DEEP, 7, 0.1724,9
DEEP, 8, 0.1724,9
BON, 0, 0.1111,9
BON, 1, 0.1111,9
BON, 2, 0.1111,9
BON, 3, 0.1111,9
BON, 4, 0.1111,9
BON, 5, 0.1111,9
BON, 6, 0.1111,9
BON, 7, 0.1111,9
BON, 8, 0.1111,9
BONNH, 0, 0.1111,9
BONNH, 1, 0.1111,9
BONNH, 2, 0.1111,9
BONNH, 3, 0.1111,9
BONNH, 4, 0.1111,9
BONNH, 5, 0.1111,9
BONNH, 6, 0.1111,9
BONNH, 7, 0.1111,9
BONNH, 8, 0.1111,9
SOR2, 0, 0.3333,3
SOR2, 1, 0.3333,3
SOR2, 2, 0.3333,3
SV5D, 0, 0.2,5
SV5D, 1, 0.2,5
SV5D, 2, 0.2,5
SV5D, 3, 0.2,5
SV5D, 4, 0.2,5
SV5U, 0, 0.2,5
SV5U, 1, 0.2,5
SV5U, 2, 0.2,5
SV5U, 3, 0.2,5
SV5U, 4, 0.2,5
100H, 0, 0.0268,15
100H, 1, 0.0300,15
100H, 2, 0.0336,15
100H, 3, 0.0377,15
100H, 4, 0.0422,15
100H, 5, 0.0473,15
100H, 6, 0.0529,15
100H, 7, 0.0593,15
100H, 8, 0.0664,15
100H, 9, 0.07440,15
100H, 10, 0.0833,15
100H, 11, 0.0933,15
100H, 12, 0.1045,15
100H, 13, 0.117,15
100H, 14, 0.1311,15
RSO, 0, 0.0122,21
RSO, 1, 0.0137,21
RSO, 2, 0.0154,21
RSO, 3, 0.0172,21
RSO, 4, 0.0193,21
RSO, 5, 0.0216,21
RSO, 6, 0.0242,21
RSO, 7, 0.0271,21
RSO, 8, 0.0303,21
RSO, 9, 0.0339,21
RSO, 10, 0.038,21
RSO, 11, 0.0426,21
RSO, 12, 0.0477,21
RSO, 13, 0.05340,21
RSO, 14, 0.0598,21
RSO, 13, 0.0670,21
RSO, 13, 0.0750,21
RSO, 13, 0.084,21
RSO, 13, 0.0941,21
RSO, 13, 0.1054,21
RSO, 13, 0.1181,21
